Season,#,Team,Points,MP,W,D,L,GF,GA,GD
17/18,16,Athletic,43,38,10,13,15,41,49,-8
17/18,17,CD Leganés,43,38,12,7,19,34,51,-17
17/18,18,RC Deportivo,29,38,6,11,21,38,76,-38
17/18,19,UD Las Palmas,22,38,5,7,26,24,74,-50
17/18,20,Málaga CF,20,38,5,5,28,24,61,-37
18/19,1,FC Barcelona,87,38,26,9,3,90,36,54
18/19,2,Atlético Madrid,76,38,22,10,6,55,29,26
18/19,3,Real Madrid,68,38,21,5,12,63,46,17
18/19,4,Valencia CF,61,38,15,16,7,51,35,16
18/19,5,Getafe CF,59,38,15,14,9,48,35,13
18/19,6,Sevilla FC,59,38,17,8,13,62,47,15
18/19,7,RCD Espanyol,53,38,14,11,13,48,50,-2
18/19,8,Athletic,53,38,13,14,11,41,45,-4
18/19,9,Real Sociedad,50,38,13,11,14,45,46,-1
18/19,10,Real Betis,50,38,14,8,16,44,52,-8
18/19,11,Alavés,50,38,13,11,14,39,50,-11
18/19,12,SD Eibar,47,38,11,14,13,46,50,-4
18/19,13,CD Leganés,45,38,11,12,15,37,43,-6
18/19,14,Villarreal CF,44,38,10,14,14,49,52,-3
18/19,15,Levante UD,44,38,11,11,16,59,66,-7
18/19,16,Real Valladolid,41,38,10,11,17,32,51,-19
18/19,17,RC Celta,41,38,10,11,17,53,62,-9
18/19,18,Girona FC,37,38,9,10,19,37,53,-16
18/19,19,SD Huesca,33,38,7,12,19,43,65,-22
18/19,20,Rayo Vallecano,32,38,8,8,22,41,70,-29
19/20,1,Real Madrid,87,38,26,9,3,70,25,45
19/20,2,FC Barcelona,82,38,25,7,6,86,38,48
19/20,3,Atlético Madrid,70,38,18,16,4,51,27,24
19/20,4,Sevilla FC,70,38,19,13,6,54,34,20
19/20,5,Villarreal CF,60,38,18,6,14,63,49,14
19/20,6,Real Sociedad,56,38,16,8,14,56,48,8
19/20,7,Granada CF,56,38,16,8,14,52,45,7
19/20,8,Getafe CF,54,38,14,12,12,43,37,6
19/20,9,Valencia CF,53,38,14,11,13,46,53,-7
19/20,10,CA Osasuna,52,38,13,13,12,46,54,-8
19/20,11,Athletic,51,38,13,12,13,41,38,3
19/20,12,Levante UD,49,38,14,7,17,47,53,-6
19/20,13,Real Valladolid,42,38,9,15,14,32,43,-11
19/20,14,SD Eibar,42,38,11,9,18,39,56,-17
19/20,15,Real Betis,41,38,10,11,17,48,60,-12
19/20,16,Alavés,39,38,10,9,19,34,59,-25
19/20,17,RC Celta,37,38,7,16,15,37,49,-12
19/20,18,CD Leganés,36,38,8,12,18,30,51,-21
19/20,19,RCD Mallorca,33,38,9,6,23,40,65,-25
19/20,20,RCD Espanyol,25,38,5,10,23,27,58,-31
20/21,1,Atlético Madrid,86,38,26,8,4,67,25,42
20/21,2,Real Madrid,84,38,25,9,4,67,28,39
