Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
15/16,12,Valencia,44,38,11,11,16,46,48,-2,Paco Alcácer,13
15/16,13,Espanyol,43,38,12,7,19,40,74,-34,Felipe Caicedo,8
15/16,14,Eibar,43,38,11,10,17,49,61,-12,Borja Bastón,18
15/16,15,Deportivo,42,38,8,18,12,45,61,-16,Lucas Pérez,17
15/16,16,Granada,39,38,10,9,19,46,69,-23,Youssef El-Arabi,16
15/16,17,Sporting Gijón,39,38,10,9,19,40,62,-22,Antonio Sanabria,11
15/16,18,Rayo Vallecano,38,38,9,11,18,52,73,-21,Javi Guerra,12
15/16,19,Getafe,36,38,9,9,20,37,67,-30,Pablo Sarabia,7
15/16,20,Levante,32,38,8,8,22,37,70,-33,Deyverson,9
16/17,1,Real Madrid,93,38,29,6,3,106,41,+65,Cristiano Ronaldo,25
16/17,2,Barcelona,90,38,28,6,4,116,37,+79,Lionel Messi,37
16/17,3,Atlético Madrid,78,38,23,9,6,70,27,+43,Antoine Griezmann,16
16/17,4,Sevilla,72,38,21,9,8,69,49,+20,Wissam Ben Yedder,11
16/17,5,Villarreal,67,38,19,10,9,56,33,+23,Cédric Bakambu,11
16/17,6,Real Sociedad,64,38,19,7,12,59,53,+6,Willian José,12
16/17,7,Athletic Club,63,38,19,6,13,53,43,+10,Aritz Aduriz,16
16/17,8,Espanyol,56,38,15,11,12,49,50,-1,Gerard Moreno,13
16/17,9,Alavés,55,38,14,13,11,41,43,-2,Deyverson,7
16/17,10,Eibar,54,38,15,9,14,56,51,+5,Sergi Enrich,11
16/17,11,Málaga,46,38,12,10,16,49,55,-6,Sandro Ramírez,14
16/17,12,Valencia,46,38,13,7,18,56,65,-9,Simone Zaza,6
16/17,13,Celta Vigo,45,38,13,6,19,53,69,-16,Iago Aspas,19
16/17,14,Las Palmas,39,38,10,9,19,53,74,-21,Kevin-Prince Boateng,10
16/17,15,Betis,39,38,10,9,19,41,64,-23,Rubén Castro,13
16/17,16,Deportivo,36,38,8,12,18,43,61,-18,Florin Andone,12
16/17,17,Leganés,35,38,8,11,19,36,55,-19,Alexander,8
16/17,18,Sporting Gijón,31,38,7,10,21,42,72,-30,Duje Čop,9
16/17,19,Osasuna,22,38,4,10,24,40,94,-54,Sergio León,10
16/17,20,Granada,20,38,4,8,26,30,82,-52,Andreas Pereira,5
17/18,1,Barcelona,93,38,28,9,1,99,29,+70,Lionel Messi,34
17/18,2,Atlético Madrid,79,38,23,10,5,58,22,+36,Antoine Griezmann,19
